,quyu,home_num,size,chaoxiang,jianzao,tags,city
472,3,8,137.6,0,2017.0,0,0
473,0,4,147.6,0,2004.0,1,0
474,2,4,118.8,4,2009.0,0,0
475,2,3,134.4,0,2016.0,0,0
476,2,4,127.1,0,2017.0,1,0
477,2,2,83.4,1,2008.0,0,0
478,1,4,160.3,1,2003.0,1,0
479,1,2,47.6,2,2000.0,1,0
480,3,4,98.8,0,2015.0,0,0
481,2,3,89.6,1,2010.0,0,0
482,2,4,124.6,0,2012.0,0,0
483,2,3,109.2,0,2017.0,1,0
484,1,4,169.8,0,2015.0,1,0
485,5,3,89.9,0,2000.0,1,0
486,0,4,155.1,0,2008.0,1,0
487,0,2,84.1,0,1992.0,1,0
488,2,2,88.4,0,2010.0,0,0
489,4,2,68.7,8,2003.0,1,0
490,2,2,89.5,0,2014.0,1,0
491,3,3,82.8,3,2000.0,0,0
492,2,2,65.0,0,2000.0,1,0
493,2,2,90.0,0,2017.0,1,0
494,0,2,79.4,0,1985.0,1,0
495,4,3,88.9,0,2000.0,1,0
496,2,2,89.8,1,2002.0,1,0
497,2,3,101.1,0,2015.0,0,0
498,2,4,102.7,0,2017.0,1,0
499,1,5,182.1,0,2007.0,1,0
500,0,6,197.0,0,2004.0,1,0
501,1,2,56.8,1,2000.0,1,0
502,3,3,88.2,1,2017.0,0,0
503,4,4,118.3,3,2018.0,1,0
504,2,3,110.8,0,2015.0,0,0
505,2,3,91.2,0,2016.0,0,0
506,3,3,89.4,0,2009.0,0,0
507,5,2,86.3,1,2013.0,0,0
508,2,3,88.7,0,2015.0,1,0
509,5,2,80.7,4,2017.0,0,0
510,3,4,130.5,0,2016.0,0,0
511,2,3,92.8,0,2004.0,1,0
512,1,4,201.5,0,2012.0,1,0
513,2,3,120.4,1,2008.0,0,0
514,1,4,229.1,0,2015.0,1,0
515,2,3,88.6,0,2018.0,0,0
516,4,2,80.7,3,2016.0,0,0
517,2,4,126.0,0,2009.0,0,0
518,5,4,86.3,8,2000.0,0,0
519,2,3,123.7,0,2009.0,0,0
520,1,1,49.3,1,2003.0,1,0
521,1,2,40.0,0,1990.0,1,0
522,2,3,115.2,1,2014.0,0,0
523,2,2,78.8,0,1999.0,1,0
524,2,2,67.1,0,2016.0,1,0
525,3,3,98.2,0,2017.0,0,0
526,2,3,130.5,0,2008.0,0,0
527,6,3,86.0,0,2010.0,0,0
528,2,2,86.5,0,2000.0,1,0
529,0,4,160.3,5,2007.0,1,0
530,6,3,83.0,0,2013.0,0,0
531,1,4,172.1,5,1998.0,1,0
532,0,3,140.0,0,2005.0,1,0
533,5,4,93.2,0,2014.0,0,0
534,2,2,80.1,0,2013.0,1,0
535,4,3,86.7,0,2015.0,1,0
536,3,3,73.2,0,2010.0,0,0
537,3,4,98.2,0,2017.0,0,0
538,0,1,59.5,6,2011.0,1,0
539,2,2,71.2,3,2015.0,1,0
540,4,2,81.5,1,2017.0,1,0
541,5,2,81.8,0,2017.0,0,0
542,2,2,82.9,1,2014.0,0,0
543,2,3,88.7,1,2015.0,0,0
544,4,3,91.1,0,2015.0,1,0
545,2,2,93.5,0,2012.0,0,0
546,2,2,89.0,0,2016.0,0,0
547,2,3,89.2,0,2016.0,1,0
548,6,2,90.6,0,2013.0,0,0
549,4,3,110.6,0,2014.0,0,0
550,6,3,80.0,0,2009.0,0,0
551,2,2,88.7,1,2020.0,0,0
552,2,3,89.6,0,2015.0,0,0
553,4,2,51.9,3,2011.0,1,0
554,4,3,89.5,3,2015.0,1,0
555,0,2,52.5,0,2010.0,1,0
556,4,3,101.9,1,2000.0,1,0
557,5,3,98.2,1,2000.0,0,0
558,2,2,84.8,1,2008.0,0,0
559,3,3,100.4,0,2009.0,0,0
560,0,4,150.2,0,2004.0,0,0
561,2,3,112.9,0,2006.0,1,0
562,3,3,85.9,0,2015.0,0,0
563,6,3,90.0,1,2018.0,0,0
564,1,1,45.3,1,2012.0,1,0
565,4,3,108.1,1,2017.0,1,0
566,2,2,89.8,0,2015.0,0,0
567,2,2,86.0,0,2004.0,0,0
568,2,3,112.6,0,2019.0,0,0
569,4,2,94.3,0,2004.0,1,0
570,2,3,97.9,1,2003.0,0,0
571,5,3,89.5,0,2012.0,0,0
572,4,2,74.4,0,1997.0,1,0
573,2,3,86.5,5,2000.0,0,0
574,4,2,67.8,0,1995.0,1,0
575,3,3,82.9,8,2009.0,0,0
576,1,3,156.8,0,2015.0,1,0
577,4,2,61.2,1,2015.0,1,0
578,0,1,30.1,1,2004.0,0,0
579,1,4,386.3,0,2000.0,1,0
580,2,3,92.5,0,2005.0,1,0
581,1,2,30.5,9,2005.0,1,0
582,3,3,90.0,0,2009.0,0,0
583,5,3,82.5,1,2000.0,0,0
584,5,2,72.8,0,2014.0,1,0
585,3,3,88.3,0,2018.0,0,0
586,3,3,94.8,0,2010.0,0,0
587,4,2,69.5,0,1995.0,1,0
588,1,4,140.6,0,2013.0,1,0
589,5,2,93.7,0,2017.0,0,0
590,5,3,88.4,0,2013.0,1,0
591,5,2,67.6,0,2015.0,1,0
592,1,2,37.3,8,2005.0,1,0
593,3,3,100.7,0,2015.0,0,0
594,2,3,110.6,0,2000.0,1,0
595,2,2,65.7,0,2010.0,0,0
596,0,6,281.1,0,2015.0,1,0
597,2,3,75.0,0,2004.0,0,0
598,1,2,59.8,0,2008.0,0,0
599,2,5,178.0,0,2016.0,1,0
